,Ammonia
2011-01-01 20:00:00,35.0
2011-01-01 21:00:00,40.66
2011-01-01 22:00:00,41.05
2011-01-01 23:00:00,32.29
2011-01-02 00:00:00,35.59
2011-01-02 01:00:00,42.79
2011-01-02 02:00:00,40.43
2011-01-02 03:00:00,29.18
2011-01-02 04:00:00,26.99
2011-01-02 05:00:00,28.95
2011-01-02 06:00:00,32.41
2011-01-02 07:00:00,26.11
2011-01-02 08:00:00,22.43
2011-01-02 09:00:00,31.4
2011-01-02 10:00:00,29.54
2011-01-02 11:00:00,18.97
2011-01-02 12:00:00,14.16
2011-01-02 13:00:00,23.35
2011-01-02 14:00:00,26.31
2011-01-02 15:00:00,25.86
2011-01-02 16:00:00,27.95
2011-01-02 17:00:00,38.03
2011-01-02 18:00:00,36.18
2011-01-02 19:00:00,25.26
2011-01-02 20:00:00,29.08
2011-01-02 21:00:00,39.54
2011-01-02 22:00:00,37.18
2011-01-02 23:00:00,24.9
2011-01-03 00:00:00,25.42
2011-01-03 01:00:00,33.78
2011-01-03 02:00:00,33.88
2011-01-03 03:00:00,24.31
2011-01-03 04:00:00,26.55
2011-01-03 05:00:00,32.6
2011-01-03 06:00:00,36.11
2011-01-03 07:00:00,35.34
2011-01-03 08:00:00,38.88
2011-01-03 09:00:00,48.15
2011-01-03 10:00:00,49.48
2011-01-03 11:00:00,36.01
2011-01-03 12:00:00,31.15
2011-01-03 13:00:00,42.86
2011-01-03 14:00:00,40.46
2011-01-03 15:00:00,26.87
2011-01-03 16:00:00,25.04
2011-01-03 17:00:00,31.65
2011-01-03 18:00:00,32.39
2011-01-03 19:00:00,25.39
2011-01-03 20:00:00,29.02
2011-01-03 21:00:00,41.3
2011-01-03 22:00:00,42.93
2011-01-03 23:00:00,32.52
2011-01-04 00:00:00,30.9
2011-01-04 01:00:00,35.78
2011-01-04 02:00:00,39.0
2011-01-04 03:00:00,29.07
2011-01-04 04:00:00,28.43
2011-01-04 05:00:00,41.63
2011-01-04 06:00:00,38.27
2011-01-04 07:00:00,31.45
2011-01-04 08:00:00,32.69
2011-01-04 09:00:00,38.81
2011-01-04 10:00:00,38.2
2011-01-04 11:00:00,31.8
2011-01-04 12:00:00,34.51
2011-01-04 13:00:00,48.04
2011-01-04 14:00:00,47.75
2011-01-04 15:00:00,47.59
2011-01-04 16:00:00,43.57
2011-01-04 17:00:00,50.52
2011-01-04 18:00:00,48.79
2011-01-04 19:00:00,34.15
2011-01-04 20:00:00,37.36
2011-01-04 21:00:00,48.84
2011-01-04 22:00:00,47.51
2011-01-04 23:00:00,35.66
2011-01-05 00:00:00,31.11
2011-01-05 01:00:00,38.13
2011-01-05 02:00:00,40.05
2011-01-05 03:00:00,29.9
2011-01-05 04:00:00,29.13
2011-01-05 05:00:00,40.22
2011-01-05 06:00:00,43.18
2011-01-05 07:00:00,34.13
2011-01-05 08:00:00,35.16
2011-01-05 09:00:00,48.26
2011-01-05 10:00:00,47.46
2011-01-05 11:00:00,36.29
2011-01-05 12:00:00,38.18
2011-01-05 13:00:00,46.09
2011-01-05 14:00:00,43.88
2011-01-05 15:00:00,37.81
2011-01-05 16:00:00,36.65
2011-01-05 17:00:00,37.52
2011-01-05 18:00:00,38.31
2011-01-05 19:00:00,27.79
2011-01-05 20:00:00,27.64
2011-01-05 21:00:00,38.74
2011-01-05 22:00:00,37.87
2011-01-05 23:00:00,29.22
2011-01-06 00:00:00,23.73
2011-01-06 01:00:00,31.03
2011-01-06 02:00:00,35.64
2011-01-06 03:00:00,26.52
2011-01-06 04:00:00,22.35
2011-01-06 05:00:00,29.4
2011-01-06 06:00:00,26.98
2011-01-06 07:00:00,19.09
2011-01-06 08:00:00,19.38
2011-01-06 09:00:00,27.97
2011-01-06 10:00:00,28.68
2011-01-06 11:00:00,21.75
2011-01-06 12:00:00,22.29
2011-01-06 13:00:00,30.84
2011-01-06 14:00:00,29.99
2011-01-06 15:00:00,22.51
2011-01-06 16:00:00,23.74
2011-01-06 17:00:00,36.17
2011-01-06 18:00:00,32.6
2011-01-06 19:00:00,21.51
2011-01-06 20:00:00,25.18
2011-01-06 21:00:00,32.76
2011-01-06 22:00:00,37.14
2011-01-06 23:00:00,32.14
2011-01-07 00:00:00,36.6
2011-01-07 01:00:00,42.8
2011-01-07 02:00:00,42.25
2011-01-07 03:00:00,31.04
2011-01-07 04:00:00,34.21
2011-01-07 05:00:00,48.41
2011-01-07 06:00:00,49.69
2011-01-07 07:00:00,39.25
2011-01-07 08:00:00,37.73
2011-01-07 09:00:00,48.4
2011-01-07 10:00:00,43.39
2011-01-07 11:00:00,35.16
2011-01-07 12:00:00,32.4
2011-01-07 13:00:00,43.52
2011-01-07 14:00:00,42.19
2011-01-07 15:00:00,31.3
2011-01-07 16:00:00,29.02
2011-01-07 17:00:00,37.55
2011-01-07 18:00:00,38.96
2011-01-07 19:00:00,32.69
2011-01-07 20:00:00,34.5
2011-01-07 21:00:00,47.65
2011-01-07 22:00:00,54.0
2011-01-07 23:00:00,42.13
2011-01-08 00:00:00,40.8
2011-01-08 01:00:00,44.9
2011-01-08 02:00:00,47.48
2011-01-08 03:00:00,41.13
2011-01-08 04:00:00,37.91
2011-01-08 05:00:00,48.48
2011-01-08 06:00:00,50.78
2011-01-08 07:00:00,40.88
2011-01-08 08:00:00,42.83
2011-01-08 09:00:00,51.58
2011-01-08 10:00:00,46.27
2011-01-08 11:00:00,39.29
2011-01-08 12:00:00,42.84
2011-01-08 13:00:00,53.26
2011-01-08 14:00:00,48.57
2011-01-08 15:00:00,35.96
2011-01-08 16:00:00,32.47
2011-01-08 17:00:00,44.03
2011-01-08 18:00:00,46.93
2011-01-08 19:00:00,38.01
2011-01-08 20:00:00,40.53
2011-01-08 21:00:00,46.38
2011-01-08 22:00:00,45.68
2011-01-08 23:00:00,31.5
2011-01-09 00:00:00,29.53
2011-01-09 01:00:00,41.72
2011-01-09 02:00:00,40.33
2011-01-09 03:00:00,34.42
2011-01-09 04:00:00,36.09
2011-01-09 05:00:00,53.19
2011-01-09 06:00:00,51.65
2011-01-09 07:00:00,36.77
2011-01-09 08:00:00,36.49
2011-01-09 09:00:00,42.45
2011-01-09 10:00:00,44.64
2011-01-09 11:00:00,34.8
2011-01-09 12:00:00,34.41
2011-01-09 13:00:00,43.09
2011-01-09 14:00:00,44.5
2011-01-09 15:00:00,33.2
2011-01-09 16:00:00,35.71
2011-01-09 17:00:00,47.77
2011-01-09 18:00:00,45.47
2011-01-09 19:00:00,32.65
2011-01-09 20:00:00,31.34
2011-01-09 21:00:00,42.84
2011-01-09 22:00:00,42.33
2011-01-09 23:00:00,34.49
2011-01-10 00:00:00,39.83
2011-01-10 01:00:00,49.04
2011-01-10 02:00:00,45.21
2011-01-10 03:00:00,38.36
2011-01-10 04:00:00,38.18
2011-01-10 05:00:00,49.48
2011-01-10 06:00:00,51.23
2011-01-10 07:00:00,37.73
2011-01-10 08:00:00,41.6
2011-01-10 09:00:00,52.66
2011-01-10 10:00:00,49.08
2011-01-10 11:00:00,39.58
2011-01-10 12:00:00,39.9
2011-01-10 13:00:00,48.48
2011-01-10 14:00:00,49.75
2011-01-10 15:00:00,43.58
2011-01-10 16:00:00,42.75
2011-01-10 17:00:00,54.97
2011-01-10 18:00:00,55.93
2011-01-10 19:00:00,45.54
2011-01-10 20:00:00,45.01
2011-01-10 21:00:00,49.55
2011-01-10 22:00:00,43.6
2011-01-10 23:00:00,34.23
2011-01-11 00:00:00,31.74
2011-01-11 01:00:00,40.95
2011-01-11 02:00:00,38.75
2011-01-11 03:00:00,24.01
2011-01-11 04:00:00,26.18
2011-01-11 05:00:00,34.82
2011-01-11 06:00:00,35.08
2011-01-11 07:00:00,23.39
2011-01-11 08:00:00,23.55
2011-01-11 09:00:00,38.37
2011-01-11 10:00:00,38.42
2011-01-11 11:00:00,30.73
2011-01-11 12:00:00,27.34
2011-01-11 13:00:00,44.28
2011-01-11 14:00:00,48.88
2011-01-11 15:00:00,42.58
2011-01-11 16:00:00,44.31
2011-01-11 17:00:00,52.42
2011-01-11 18:00:00,52.01
2011-01-11 19:00:00,44.45
2011-01-11 20:00:00,41.62
2011-01-11 21:00:00,48.62
2011-01-11 22:00:00,42.25
2011-01-11 23:00:00,30.21
2011-01-12 00:00:00,35.68
2011-01-12 01:00:00,43.61
2011-01-12 02:00:00,41.79
2011-01-12 03:00:00,33.07
2011-01-12 04:00:00,28.42
2011-01-12 05:00:00,40.92
2011-01-12 06:00:00,44.12
2011-01-12 07:00:00,35.34
2011-01-12 08:00:00,40.26
2011-01-12 09:00:00,44.76
2011-01-12 10:00:00,49.31
2011-01-12 11:00:00,36.69
2011-01-12 12:00:00,32.68
2011-01-12 13:00:00,41.2
2011-01-12 14:00:00,46.2
2011-01-12 15:00:00,36.02
2011-01-12 16:00:00,33.12
2011-01-12 17:00:00,38.42
2011-01-12 18:00:00,37.76
2011-01-12 19:00:00,22.5
2011-01-12 20:00:00,19.85
2011-01-12 21:00:00,35.0
2011-01-12 22:00:00,38.97
2011-01-12 23:00:00,29.18
2011-01-13 00:00:00,28.37
2011-01-13 01:00:00,38.21
2011-01-13 02:00:00,44.93
2011-01-13 03:00:00,36.15
2011-01-13 04:00:00,38.77
2011-01-13 05:00:00,46.78
2011-01-13 06:00:00,45.79
2011-01-13 07:00:00,37.65
2011-01-13 08:00:00,37.76
2011-01-13 09:00:00,40.79
2011-01-13 10:00:00,44.06
2011-01-13 11:00:00,32.31
2011-01-13 12:00:00,38.91
2011-01-13 13:00:00,49.58
2011-01-13 14:00:00,48.33
2011-01-13 15:00:00,39.32
2011-01-13 16:00:00,38.56
2011-01-13 17:00:00,45.75
2011-01-13 18:00:00,45.29
2011-01-13 19:00:00,37.92
2011-01-13 20:00:00,36.23
2011-01-13 21:00:00,43.24
2011-01-13 22:00:00,41.35
2011-01-13 23:00:00,34.57
2011-01-14 00:00:00,38.97
2011-01-14 01:00:00,48.66
2011-01-14 02:00:00,49.04
2011-01-14 03:00:00,36.75
2011-01-14 04:00:00,39.2
2011-01-14 05:00:00,49.44
2011-01-14 06:00:00,45.86
2011-01-14 07:00:00,30.41
2011-01-14 08:00:00,27.21
2011-01-14 09:00:00,34.98
2011-01-14 10:00:00,38.47
2011-01-14 11:00:00,33.78
2011-01-14 12:00:00,32.58
2011-01-14 13:00:00,40.6
2011-01-14 14:00:00,40.83
2011-01-14 15:00:00,31.28
2011-01-14 16:00:00,34.45
2011-01-14 17:00:00,41.93
2011-01-14 18:00:00,44.09
2011-01-14 19:00:00,33.46
2011-01-14 20:00:00,36.18
2011-01-14 21:00:00,44.24
2011-01-14 22:00:00,41.48
2011-01-14 23:00:00,37.57
2011-01-15 00:00:00,40.51
2011-01-15 01:00:00,43.58
2011-01-15 02:00:00,41.38
2011-01-15 03:00:00,35.36
2011-01-15 04:00:00,31.73
2011-01-15 05:00:00,43.37
2011-01-15 06:00:00,44.54
2011-01-15 07:00:00,32.49
2011-01-15 08:00:00,32.71
2011-01-15 09:00:00,35.67
2011-01-15 10:00:00,40.91
2011-01-15 11:00:00,30.39
2011-01-15 12:00:00,33.27
2011-01-15 13:00:00,44.28
2011-01-15 14:00:00,47.43
2011-01-15 15:00:00,35.88
2011-01-15 16:00:00,36.41
2011-01-15 17:00:00,46.94
2011-01-15 18:00:00,48.37
2011-01-15 19:00:00,41.49
2011-01-15 20:00:00,39.41
2011-01-15 21:00:00,45.98
2011-01-15 22:00:00,48.96
2011-01-15 23:00:00,32.45
2011-01-16 00:00:00,37.42
2011-01-16 01:00:00,45.27
2011-01-16 02:00:00,44.23
2011-01-16 03:00:00,32.26
2011-01-16 04:00:00,32.39
2011-01-16 05:00:00,45.46
2011-01-16 06:00:00,46.73
2011-01-16 07:00:00,38.03
2011-01-16 08:00:00,38.0
2011-01-16 09:00:00,42.36
2011-01-16 10:00:00,39.09
2011-01-16 11:00:00,28.65
2011-01-16 12:00:00,30.66
2011-01-16 13:00:00,40.3
2011-01-16 14:00:00,42.72
2011-01-16 15:00:00,34.37
2011-01-16 16:00:00,34.6
2011-01-16 17:00:00,50.47
2011-01-16 18:00:00,50.14
2011-01-16 19:00:00,38.33
2011-01-16 20:00:00,43.58
2011-01-16 21:00:00,55.32
2011-01-16 22:00:00,58.74
2011-01-16 23:00:00,47.03
2011-01-17 00:00:00,48.76
2011-01-17 01:00:00,52.02
2011-01-17 02:00:00,52.67
2011-01-17 03:00:00,41.43
2011-01-17 04:00:00,36.72
2011-01-17 05:00:00,48.65
2011-01-17 06:00:00,41.85
2011-01-17 07:00:00,26.43
2011-01-17 08:00:00,28.37
2011-01-17 09:00:00,39.75
2011-01-17 10:00:00,42.19
2011-01-17 11:00:00,34.69
2011-01-17 12:00:00,39.15
2011-01-17 13:00:00,49.84
2011-01-17 14:00:00,47.96
2011-01-17 15:00:00,37.44
2011-01-17 16:00:00,36.35
2011-01-17 17:00:00,46.1
2011-01-17 18:00:00,41.7
2011-01-17 19:00:00,33.05
2011-01-17 20:00:00,32.99
2011-01-17 21:00:00,43.02
2011-01-17 22:00:00,43.05
2011-01-17 23:00:00,25.89
2011-01-18 00:00:00,24.1
2011-01-18 01:00:00,33.86
2011-01-18 02:00:00,33.81
2011-01-18 03:00:00,25.71
2011-01-18 04:00:00,27.54
2011-01-18 05:00:00,41.84
2011-01-18 06:00:00,42.09
2011-01-18 07:00:00,31.44
2011-01-18 08:00:00,27.0
2011-01-18 09:00:00,32.69
2011-01-18 10:00:00,34.53
2011-01-18 11:00:00,28.76
2011-01-18 12:00:00,34.01
2011-01-18 13:00:00,40.62
2011-01-18 14:00:00,39.15
2011-01-18 15:00:00,30.46
2011-01-18 16:00:00,37.06
2011-01-18 17:00:00,46.2
2011-01-18 18:00:00,49.73
2011-01-18 19:00:00,39.77
2011-01-18 20:00:00,42.75
2011-01-18 21:00:00,54.06
2011-01-18 22:00:00,52.65
2011-01-18 23:00:00,38.82
2011-01-19 00:00:00,37.63
2011-01-19 01:00:00,50.84
2011-01-19 02:00:00,51.89
2011-01-19 03:00:00,39.9
2011-01-19 04:00:00,38.38
2011-01-19 05:00:00,41.85
2011-01-19 06:00:00,45.5
2011-01-19 07:00:00,38.11
2011-01-19 08:00:00,37.38
2011-01-19 09:00:00,46.75
2011-01-19 10:00:00,39.06
2011-01-19 11:00:00,28.19
2011-01-19 12:00:00,32.88
2011-01-19 13:00:00,45.03
2011-01-19 14:00:00,45.02
2011-01-19 15:00:00,34.98
2011-01-19 16:00:00,37.37
2011-01-19 17:00:00,45.29
2011-01-19 18:00:00,39.26
2011-01-19 19:00:00,29.82
2011-01-19 20:00:00,31.55
2011-01-19 21:00:00,44.26
2011-01-19 22:00:00,39.01
2011-01-19 23:00:00,29.24
2011-01-20 00:00:00,29.59
2011-01-20 01:00:00,35.83
2011-01-20 02:00:00,37.21
2011-01-20 03:00:00,30.23
2011-01-20 04:00:00,29.83
2011-01-20 05:00:00,45.52
2011-01-20 06:00:00,43.51
2011-01-20 07:00:00,32.32
2011-01-20 08:00:00,31.16
2011-01-20 09:00:00,38.09
2011-01-20 10:00:00,36.11
2011-01-20 11:00:00,22.7
2011-01-20 12:00:00,23.35
2011-01-20 13:00:00,33.69
2011-01-20 14:00:00,26.97
2011-01-20 15:00:00,18.47
2011-01-20 16:00:00,20.25
2011-01-20 17:00:00,32.27
2011-01-20 18:00:00,36.15
2011-01-20 19:00:00,29.59
2011-01-20 20:00:00,28.27
2011-01-20 21:00:00,35.74
2011-01-20 22:00:00,37.4
2011-01-20 23:00:00,26.52
2011-01-21 00:00:00,23.68
2011-01-21 01:00:00,40.94
2011-01-21 02:00:00,39.41
2011-01-21 03:00:00,28.09
2011-01-21 04:00:00,22.2
2011-01-21 05:00:00,35.04
2011-01-21 06:00:00,32.07
2011-01-21 07:00:00,23.45
2011-01-21 08:00:00,27.51
2011-01-21 09:00:00,34.34
2011-01-21 10:00:00,34.65
2011-01-21 11:00:00,30.25
2011-01-21 12:00:00,23.36
2011-01-21 13:00:00,31.09
2011-01-21 14:00:00,28.77
2011-01-21 15:00:00,19.83
2011-01-21 16:00:00,21.2
2011-01-21 17:00:00,28.4
2011-01-21 18:00:00,27.1
2011-01-21 19:00:00,16.57
2011-01-21 20:00:00,17.36
2011-01-21 21:00:00,28.78
2011-01-21 22:00:00,32.13
2011-01-21 23:00:00,26.58
2011-01-22 00:00:00,29.39
2011-01-22 01:00:00,36.33
2011-01-22 02:00:00,36.18
2011-01-22 03:00:00,34.19
2011-01-22 04:00:00,37.31
2011-01-22 05:00:00,44.76
2011-01-22 06:00:00,48.53
2011-01-22 07:00:00,37.01
2011-01-22 08:00:00,34.81
2011-01-22 09:00:00,48.01
2011-01-22 10:00:00,42.78
2011-01-22 11:00:00,27.26
2011-01-22 12:00:00,30.86
2011-01-22 13:00:00,40.36
2011-01-22 14:00:00,40.2
2011-01-22 15:00:00,29.6
2011-01-22 16:00:00,29.42
2011-01-22 17:00:00,37.61
2011-01-22 18:00:00,35.47
2011-01-22 19:00:00,25.28
2011-01-22 20:00:00,25.01
2011-01-22 21:00:00,32.52
2011-01-22 22:00:00,31.13
2011-01-22 23:00:00,15.01
2011-01-23 00:00:00,19.06
2011-01-23 01:00:00,30.83
2011-01-23 02:00:00,30.99
2011-01-23 03:00:00,23.1
2011-01-23 04:00:00,25.11
2011-01-23 05:00:00,32.93
2011-01-23 06:00:00,31.54
2011-01-23 07:00:00,24.47
2011-01-23 08:00:00,26.15
2011-01-23 09:00:00,42.16
2011-01-23 10:00:00,46.3
2011-01-23 11:00:00,38.97
2011-01-23 12:00:00,36.29
2011-01-23 13:00:00,43.47
2011-01-23 14:00:00,39.61
2011-01-23 15:00:00,30.99
2011-01-23 16:00:00,23.17
2011-01-23 17:00:00,31.98
2011-01-23 18:00:00,31.36
2011-01-23 19:00:00,18.15
2011-01-23 20:00:00,22.23
2011-01-23 21:00:00,29.09
2011-01-23 22:00:00,30.48
2011-01-23 23:00:00,30.29
2011-01-24 00:00:00,25.92
2011-01-24 01:00:00,35.39
2011-01-24 02:00:00,34.13
2011-01-24 03:00:00,23.41
2011-01-24 04:00:00,26.85
2011-01-24 05:00:00,39.98
2011-01-24 06:00:00,41.8
2011-01-24 07:00:00,29.95
2011-01-24 08:00:00,37.75
2011-01-24 09:00:00,41.17
2011-01-24 10:00:00,37.45
2011-01-24 11:00:00,28.72
2011-01-24 12:00:00,29.61
2011-01-24 13:00:00,40.62
2011-01-24 14:00:00,44.8
2011-01-24 15:00:00,34.46
2011-01-24 16:00:00,34.85
2011-01-24 17:00:00,42.08
2011-01-24 18:00:00,43.14
2011-01-24 19:00:00,32.37
2011-01-24 20:00:00,31.68
2011-01-24 21:00:00,42.64
2011-01-24 22:00:00,44.98
2011-01-24 23:00:00,28.36
2011-01-25 00:00:00,30.1
2011-01-25 01:00:00,38.78
2011-01-25 02:00:00,41.25
2011-01-25 03:00:00,30.87
2011-01-25 04:00:00,35.19
2011-01-25 05:00:00,42.14
2011-01-25 06:00:00,34.74
2011-01-25 07:00:00,28.92
2011-01-25 08:00:00,26.99
2011-01-25 09:00:00,32.05
2011-01-25 10:00:00,32.4
2011-01-25 11:00:00,22.94
2011-01-25 12:00:00,26.61
2011-01-25 13:00:00,39.13
2011-01-25 14:00:00,39.0
2011-01-25 15:00:00,26.95
2011-01-25 16:00:00,28.62
2011-01-25 17:00:00,38.75
2011-01-25 18:00:00,40.08
2011-01-25 19:00:00,27.95
2011-01-25 20:00:00,27.45
2011-01-25 21:00:00,38.74
2011-01-25 22:00:00,42.1
2011-01-25 23:00:00,35.29
2011-01-26 00:00:00,35.51
2011-01-26 01:00:00,43.0
2011-01-26 02:00:00,43.41
2011-01-26 03:00:00,30.29
2011-01-26 04:00:00,28.31
2011-01-26 05:00:00,42.51
2011-01-26 06:00:00,42.97
2011-01-26 07:00:00,32.13
2011-01-26 08:00:00,34.9
2011-01-26 09:00:00,47.77
2011-01-26 10:00:00,45.16
2011-01-26 11:00:00,33.86
2011-01-26 12:00:00,32.32
2011-01-26 13:00:00,44.48
2011-01-26 14:00:00,46.45
2011-01-26 15:00:00,40.46
2011-01-26 16:00:00,42.94
2011-01-26 17:00:00,46.25
2011-01-26 18:00:00,45.97
2011-01-26 19:00:00,32.7
2011-01-26 20:00:00,31.39
2011-01-26 21:00:00,41.26
2011-01-26 22:00:00,43.14
2011-01-26 23:00:00,30.66
2011-01-27 00:00:00,24.12
2011-01-27 01:00:00,34.75
2011-01-27 02:00:00,42.7
2011-01-27 03:00:00,32.32
2011-01-27 04:00:00,32.73
2011-01-27 05:00:00,47.31
2011-01-27 06:00:00,47.85
2011-01-27 07:00:00,38.21
2011-01-27 08:00:00,39.22
2011-01-27 09:00:00,48.55
2011-01-27 10:00:00,43.77
2011-01-27 11:00:00,29.87
2011-01-27 12:00:00,36.04
2011-01-27 13:00:00,45.49
2011-01-27 14:00:00,44.74
2011-01-27 15:00:00,34.5
2011-01-27 16:00:00,36.89
2011-01-27 17:00:00,53.32
2011-01-27 18:00:00,53.06
2011-01-27 19:00:00,40.49
2011-01-27 20:00:00,39.54
2011-01-27 21:00:00,51.3
2011-01-27 22:00:00,47.92
2011-01-27 23:00:00,40.18
2011-01-28 00:00:00,32.7
2011-01-28 01:00:00,41.24
2011-01-28 02:00:00,42.5
2011-01-28 03:00:00,36.56
2011-01-28 04:00:00,33.95
2011-01-28 05:00:00,38.55
2011-01-28 06:00:00,37.41
2011-01-28 07:00:00,24.79
2011-01-28 08:00:00,25.37
2011-01-28 09:00:00,35.31
2011-01-28 10:00:00,31.32
2011-01-28 11:00:00,25.1
2011-01-28 12:00:00,25.62
2011-01-28 13:00:00,38.8
2011-01-28 14:00:00,32.89
2011-01-28 15:00:00,21.05
2011-01-28 16:00:00,23.99
2011-01-28 17:00:00,31.69
2011-01-28 18:00:00,31.53
2011-01-28 19:00:00,22.88
2011-01-28 20:00:00,24.57
2011-01-28 21:00:00,32.58
2011-01-28 22:00:00,33.27
2011-01-28 23:00:00,22.09
2011-01-29 00:00:00,25.41
2011-01-29 01:00:00,35.02
2011-01-29 02:00:00,35.48
2011-01-29 03:00:00,34.15
2011-01-29 04:00:00,30.91
2011-01-29 05:00:00,44.48
2011-01-29 06:00:00,35.56
2011-01-29 07:00:00,20.27
2011-01-29 08:00:00,18.02
2011-01-29 09:00:00,25.18
2011-01-29 10:00:00,26.78
2011-01-29 11:00:00,19.47
2011-01-29 12:00:00,20.26
2011-01-29 13:00:00,30.28
2011-01-29 14:00:00,32.34
2011-01-29 15:00:00,26.1
2011-01-29 16:00:00,23.01
2011-01-29 17:00:00,32.13
2011-01-29 18:00:00,32.2
2011-01-29 19:00:00,24.94
2011-01-29 20:00:00,23.63
2011-01-29 21:00:00,33.5
2011-01-29 22:00:00,33.74
2011-01-29 23:00:00,22.75
2011-01-30 00:00:00,21.79
2011-01-30 01:00:00,32.41
2011-01-30 02:00:00,32.28
2011-01-30 03:00:00,25.05
2011-01-30 04:00:00,22.89
2011-01-30 05:00:00,32.04
2011-01-30 06:00:00,31.65
2011-01-30 07:00:00,25.43
2011-01-30 08:00:00,23.56
2011-01-30 09:00:00,34.41
2011-01-30 10:00:00,35.23
2011-01-30 11:00:00,31.15
2011-01-30 12:00:00,28.51
2011-01-30 13:00:00,36.19
2011-01-30 14:00:00,33.26
2011-01-30 15:00:00,19.42
2011-01-30 16:00:00,26.27
2011-01-30 17:00:00,32.42
2011-01-30 18:00:00,30.23
2011-01-30 19:00:00,25.65
2011-01-30 20:00:00,21.33
2011-01-30 21:00:00,33.97
2011-01-30 22:00:00,29.83
2011-01-30 23:00:00,25.09
2011-01-31 00:00:00,19.57
2011-01-31 01:00:00,24.85
2011-01-31 02:00:00,24.23
2011-01-31 03:00:00,19.22
2011-01-31 04:00:00,20.71
2011-01-31 05:00:00,30.13
2011-01-31 06:00:00,34.66
2011-01-31 07:00:00,32.16
2011-01-31 08:00:00,34.46
2011-01-31 09:00:00,41.64
2011-01-31 10:00:00,39.72
2011-01-31 11:00:00,26.39
2011-01-31 12:00:00,27.55
2011-01-31 13:00:00,32.41
2011-01-31 14:00:00,34.32
2011-01-31 15:00:00,31.41
2011-01-31 16:00:00,33.92
2011-01-31 17:00:00,41.62
2011-01-31 18:00:00,42.54
